epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,203.719,1.38613,4.65329,1.66325,0.02143,0.20542,0.03403,0.02776,1.05088,4.84058,1.42678,0.000105635,0.000105635,0.000105635
2,402.046,1.19925,3.95978,1.50151,0.65379,0.17646,0.24302,0.17051,1.03869,4.12905,1.45874,0.000209079,0.000209079,0.000209079
3,594.151,1.19833,3.36896,1.50669,0.61403,0.45263,0.43979,0.30479,1.13105,3.52802,1.543,0.000308258,0.000308258,0.000308258
4,786.951,1.17377,3.01922,1.44428,0.52213,0.60256,0.58388,0.42057,1.08115,3.09262,1.5149,0.000303814,0.000303814,0.000303814
5,975.224,1.12759,2.67017,1.42642,0.64563,0.67789,0.70979,0.51469,1.00036,2.64699,1.38006,0.000297418,0.000297418,0.000297418
6,1162.67,1.07408,2.3803,1.37899,0.73825,0.61595,0.78996,0.59343,0.93473,2.56508,1.3585,0.000291023,0.000291023,0.000291023
7,1350.87,1.0763,2.24757,1.35895,0.64227,0.83415,0.83033,0.60335,0.98735,2.2464,1.38693,0.000284628,0.000284628,0.000284628
8,1539.35,1.03147,2.07037,1.32977,0.77043,0.79827,0.86469,0.64559,0.9757,2.11263,1.35466,0.000278232,0.000278232,0.000278232
9,1728.19,1.03557,1.96029,1.30834,0.84832,0.80997,0.87904,0.64465,0.9649,2.02348,1.36329,0.000271837,0.000271837,0.000271837
10,1919.2,0.98124,1.89088,1.28882,0.67951,0.8723,0.87398,0.66671,0.91106,1.92999,1.34949,0.000265441,0.000265441,0.000265441
11,2115.61,0.96896,1.82073,1.26962,0.84997,0.83335,0.90481,0.69549,0.88871,1.73128,1.29226,0.000259046,0.000259046,0.000259046
12,2309.61,0.95057,1.75092,1.26402,0.77727,0.88178,0.90305,0.686,0.88591,1.79772,1.2981,0.000252651,0.000252651,0.000252651
13,2502.53,0.96255,1.64967,1.2696,0.80837,0.88362,0.90628,0.70921,0.84765,1.72692,1.26598,0.000246255,0.000246255,0.000246255
14,2692.3,0.95001,1.6441,1.25694,0.84294,0.85556,0.90625,0.71426,0.84195,1.65458,1.25373,0.00023986,0.00023986,0.00023986
15,2882.67,0.93296,1.53239,1.24285,0.85174,0.8766,0.92775,0.73234,0.85317,1.56672,1.26702,0.000233464,0.000233464,0.000233464
16,3075.62,0.90304,1.48854,1.23416,0.85549,0.91304,0.93811,0.72867,0.86477,1.53042,1.27973,0.000227069,0.000227069,0.000227069
17,3267.01,0.89909,1.45891,1.22214,0.89621,0.89389,0.94329,0.71956,0.91442,1.55707,1.31382,0.000220674,0.000220674,0.000220674
18,3460.46,0.87418,1.41611,1.19969,0.84161,0.90916,0.93635,0.74516,0.83061,1.51756,1.25184,0.000214278,0.000214278,0.000214278
19,3652.7,0.86516,1.36842,1.19513,0.87648,0.92097,0.94547,0.76618,0.81185,1.35402,1.23886,0.000207883,0.000207883,0.000207883
